AREA,Latency,FU,REG,MUX,DEC,Pin_Pair,Net,MISC,CP_delay,BlockMemoryBit,DSP,Fu_ratio,attributes
53,17,20,26,24,5,206,108,4,3.02,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=1
330,9,48,101,277,2,1347,330,3,9.5508,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
95,19,24,29,39,8,317,143,24,5.1,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=3
37,8,12,85,23,1,240,73,1,3.8754,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
90,13,40,34,37,5,304,149,8,5.54,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=3
41,9,12,86,26,2,267,77,1,4.4454,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~folding=1
41,9,12,86,26,2,267,77,1,4.4454,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~folding=1
118,12,40,38,67,6,448,171,5,6.64,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=7
50,16,20,22,21,4,202,99,5,3.02,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~folding=0
118,12,40,38,67,6,448,171,5,6.64,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=4
50,16,20,22,20,4,188,100,6,2.45,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=0
37,8,12,85,23,1,240,73,1,3.8754,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~folding=0
170,16,20,90,143,4,769,158,3,4.4454,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=1
50,16,20,22,20,4,188,100,6,2.45,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~unroll_times=0
76,18,12,35,29,11,301,136,24,3.6,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~folding=1
54,16,12,24,25,10,223,109,7,3.03,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~folding=1
110,24,20,63,67,12,502,163,11,7.25,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~unroll_times=7
50,16,20,22,20,4,188,100,6,2.45,64,0,-50,ARRAY_1~array=REG;LOOP_1~folding=1;LOOP_2~folding=0
170,16,20,90,143,4,769,158,3,4.4454,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=1
286,13,56,86,214,5,1149,253,11,9.6954,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=3
330,9,48,101,277,2,1347,330,3,9.5508,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=7
192,15,20,85,163,2,847,161,7,4.5554,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~unroll_times=0
52,15,12,23,24,9,204,105,7,3.03,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
135,18,24,61,71,11,587,209,29,7.93,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=7
76,18,12,35,29,11,301,136,24,3.6,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~folding=1
56,1,56,64,0,0,203,140,0,4.18,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=7
76,25,20,29,30,6,266,123,20,3.6,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=0;LOOP_2~folding=1
96,19,20,34,33,5,323,149,38,3.6,64,0,0,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~folding=1
70,18,16,31,31,14,277,125,9,5.364,64,0,-50,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=3
90,13,40,34,38,5,318,148,7,5.54,64,0,0,ARRAY_1~array=REG;LOOP_1~folding=0;LOOP_2~unroll_times=3
448,12,28,154,408,4,1929,456,8,8.527,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~folding=0
75,16,28,25,32,7,261,125,8,3.02,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~folding=0
170,16,20,90,143,4,769,158,3,4.4454,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~folding=1
448,13,28,158,409,5,1953,474,6,8.527,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~folding=1
50,16,20,22,21,4,202,99,5,3.02,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~folding=0
192,15,20,85,163,2,847,161,7,4.5554,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=0;LOOP_2~folding=0
185,9,64,77,117,2,723,166,2,4.18,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=7
52,15,12,23,24,9,204,105,7,3.03,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~folding=0
118,12,40,38,67,6,448,171,5,6.64,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~unroll_times=4
168,16,20,86,140,4,755,155,4,3.8754,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=0
192,15,20,85,163,2,847,161,7,4.5554,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=0;LOOP_2~folding=0
56,23,12,31,26,11,245,109,7,3.03,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
