AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,ARRAY_3,ARRAY_4,ARRAY_5,LOOP_1,LOOP_2,LOOP_3,LOOP_4,LOOP_5,Attr
1128,9,770,198,330,9,3021,1434,9,9,9.00,19,-,28.8007ns,-,-,-,-,48,488,26,50,Cyber,array=RAM,array=RAM,array=RAM,array=EXPAND+array_index=const,array=REG,folding=0,folding=0,unroll_times=0,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=RAM;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=folding=0;LOOP_5=folding=1;50
2466,21,474,544,1872,22,8083,2258,22,22,22.00,98,-,41.3ns,-,-,-,-,57,376,15,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=RAM,array=RAM,array=RAM,unroll_times=all,folding=0,unroll_times=all,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;LOOP_3=unroll_times=all;LOOP_4=folding=1;LOOP_5=unroll_times=0;-100
1560,14,459,366,1036,14,4773,1538,14,14,14.00,51,-,34.885ns,-,-,-,-,62,248,11,0,Cyber,array=LOGIC,array=EXPAND+array_index=const,array=RAM,array=REG,array=RAM,folding=0,folding=0,unroll_times=0,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=REG;ARRAY_5=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;LOOP_5=unroll_times=4;0
5627,10,486,555,4992,10,17513,3381,10,10,10.00,139,0,40.145ns,-,-,-,-,46,0,10,-100,Cyber,array=RAM,array=RAM,array=RAM,array=RAM,array=EXPAND+array_index=const,unroll_times=0,unroll_times=0,unroll_times=0,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=RAM;ARRAY_4=array=RAM;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=0;LOOP_4=folding=1;LOOP_5=folding=0;-100
2280,14,639,492,1557,14,7119,2141,15,15,15.00,70,-,38.8425ns,-,-,-,-,36,368,16,0,Cyber,array=RAM,array=REG,array=RAM,array=EXPAND+array_index=const,array=RAM,unroll_times=all,folding=1,unroll_times=all,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;ARRAY_3=array=RAM;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=unroll_times=all;LOOP_4=folding=1;LOOP_5=folding=0;0
1560,11,490,296,1004,11,4820,1576,11,11,11.00,55,0,29.6107ns,-,-,-,-,42,128,11,-100,Cyber,array=EXPAND+array_index=const,array=LOGIC,array=REG,array=REG,array=REG,folding=1,folding=1,unroll_times=0,unroll_times=2,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;ARRAY_4=array=REG;ARRAY_5=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;LOOP_3=unroll_times=0;LOOP_4=unroll_times=2;LOOP_5=folding=0;-100
5896,6,2030,335,3744,6,15907,4495,6,6,6.00,116,0,39.2145ns,-,-,-,-,21,0,14,0,Cyber,array=RAM,array=EXPAND+array_index=const,array=RAM,array=REG,array=EXPAND+array_index=const,unroll_times=all,unroll_times=0,folding=1,unroll_times=all,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=REG;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;LOOP_3=folding=1;LOOP_4=unroll_times=all;LOOP_5=unroll_times=4;0
5904,14,540,574,5150,14,18122,3475,14,14,14.00,200,0,44.68ns,-,-,-,-,65,0,10,-100,Cyber,array=EXPAND+array_index=const,array=LOGIC,array=LOGIC,array=LOGIC,array=EXPAND+array_index=const,folding=1,folding=0,folding=1,unroll_times=2,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=LOGIC;ARRAY_3=array=LOGIC;ARRAY_4=array=LOGIC;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=0;LOOP_3=folding=1;LOOP_4=unroll_times=2;LOOP_5=unroll_times=0;-100
4834,15,538,585,4128,15,15196,3141,15,15,15.00,153,0,41.6975ns,-,-,-,-,54,0,14,-100,Cyber,array=LOGIC,array=RAM,array=REG,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,folding=1,unroll_times=all,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=RAM;ARRAY_3=array=REG;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;LOOP_3=unroll_times=all;LOOP_4=folding=0;LOOP_5=unroll_times=0;-100
3310,5,1946,276,1313,5,7824,2971,5,5,5.00,46,0,28.8007ns,-,-,-,-,26,0,23,100,Cyber,array=REG,array=LOGIC,array=RAM,array=EXPAND+array_index=const,array=EXPAND+array_index=const,unroll_times=all,unroll_times=0,folding=1,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=LOGIC;ARRAY_3=array=RAM;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;LOOP_3=folding=1;LOOP_4=folding=0;LOOP_5=folding=1;100
